//any map with the statue of the stone girl with a yellow-ish square in front of her
//warps back to the spot in the first map with the stone girl surrounded by the yellow stones
//so each wing of the monastery has a warp back to entrance.
//I have sents as room10 and boss as room11 as usual, both the warps for these are outside the room
//near the door in the previous room.
//
//room0 is the entrance (outside area before the actual instance in wow.)
//this is the classic/vanilla version of scarlet monastery.
//room1-4 is graveyard. 
//room5 is library
//room6-7 is armory
//room8-9 is cathedral
//room10 (sents) is part of graveyard, where the boss was in the bottom of the crypt there
//room11 (boss) is the room in cathedral that whitemane? would come out of after mograine got killed
//
//not sure if you're into multiple monsters in one place but
//113 for room1-4,10
//224 for room5
//220 for room6-7
//220 & 224 in room 8-9
//
//boss could be 248 or 249
//or both with a mechanic like whitemane and mograine
//starts as 248, when 248 dies (corpse remains), 249 appears
//249 gets below 20% hp he casts revive and heals 248 & 249 to full
//then you fight 248 and 249 at once


2, 376, 413, 2800, 30, 64
2, 377, 413, 2800, 30, 65

2800, 31, 64, 2, 376, 414
2800, 31, 65, 2, 377, 414
2800, 31, 66, 2, 377, 414
2800, 2, 7, 2801, 77, 55
2800, 2, 8, 2801, 77, 56
2800, 35, 7, 2805, 4, 5
2800, 35, 8, 2805, 4, 6
2800, 27, 2, 2806, 4, 182
2800, 28, 2, 2806, 5, 182
2800, 29, 2, 2806, 6, 182
2800, 30, 2, 2806, 7, 182
2800, 7, 2, 2808, 61, 94
2800, 8, 2, 2808, 62, 94
2800, 9, 2, 2808, 63, 94
2800, 10, 2, 2808, 64, 94

2801, 78, 55, 2800, 3, 7
2801, 78, 56, 2800, 3, 8
2801, 2, 9, 2802, 11, 80
2801, 2, 10, 2802, 10, 80

2802, 9, 81, 2801, 3, 10
2802, 10, 81, 2801, 3, 10
2802, 11, 81, 2801, 3, 9
2802, 12, 81, 2801, 3, 9
2802, 31, 3, 2803, 7, 11
2802, 32, 3, 2803, 8, 11
2802, 33, 3, 2803, 9, 11

2803, 7, 12, 2802, 31, 4
2803, 8, 12, 2802, 32, 4
2803, 9, 12, 2802, 33, 4
2803, 2, 13, 2804, 2, 2
2803, 3, 13, 2804, 3, 2
2803, 4, 13, 2804, 4, 2
2803, 12, 13, 2804, 12, 2
2803, 13, 13, 2804, 13, 2
2803, 14, 13, 2804, 14, 2

2804, 2, 1, 2803, 2, 12
2804, 3, 1, 2803, 3, 12
2804, 4, 1, 2803, 4, 12
2804, 12, 1, 2803, 12, 12
2804, 13, 1, 2803, 13, 12
2804, 14, 1, 2803, 14, 12
2804, 7, 0, 2810, 12, 20
2804, 8, 0, 2810, 13, 20
2804, 9, 0, 2810, 14, 20
2804, 1, 4, 2800, 17, 40

2805, 3, 5, 2800, 34, 7
2805, 3, 6, 2800, 34, 8
2805, 113, 38, 2800, 19, 40

2806, 4, 183, 2800, 27, 3
2806, 5, 183, 2800, 28, 3
2806, 6, 183, 2800, 29, 3
2806, 7, 183, 2800, 30, 3
2806, 30, 5, 2807, 7, 67
2806, 31, 5, 2807, 8, 67
2806, 32, 5, 2807, 9, 67
2806, 33, 5, 2807, 10, 67

2807, 7, 68, 2806, 30, 6
2807, 8, 68, 2806, 31, 6
2807, 9, 68, 2806, 32, 6
2807, 10, 68, 2806, 33, 6
2807, 43, 20, 2800, 18, 41

2808, 61, 95, 2800, 7, 3
2808, 62, 95, 2800, 8, 3
2808, 63, 95, 2800, 9, 3
2808, 64, 95, 2800, 10, 3
2808, 34, 0, 2809, 40, 66
2808, 35, 0, 2809, 41, 66
2808, 36, 0, 2809, 42, 66
2808, 37, 0, 2809, 43, 66

2809, 40, 67, 2808, 34, 1
2809, 41, 67, 2808, 35, 1
2809, 42, 67, 2808, 36, 1
2809, 43, 67, 2808, 37, 1
2809, 33, 25, 2800, 18, 41
2809, 40, 11, 2811, 10, 22
2809, 41, 11, 2811, 11, 22
2809, 42, 11, 2811, 12, 22
2809, 43, 11, 2811, 13, 22

2810, 12, 21, 2804, 7, 1
2810, 13, 21, 2804, 8, 1
2810, 14, 21, 2804, 9, 1

2811, 10, 23, 2809, 40, 12
2811, 11, 23, 2809, 41, 12
2811, 12, 23, 2809, 42, 12
2811, 13, 23, 2809, 43, 12
