//wolves 23, 351, 571, 572, 623, 1404
//wolf man/boss 570
//alternative: really badass wolf boss
//that you probably won't go for: 1607 (1895 is a smaller, sleeping version)
//1607 might actually work if he's positioned in the boss room so the top
//half goes into the lava, though.
//
//I think the correct map name would be "Wolves' Den" ?
//unless you want to call it something else entirely, doesn't matter

2, 12, 534, 2700, 7, 25
2, 13, 534, 2700, 8, 25

2700, 7, 26, 2, 12, 535
2700, 8, 26, 2, 13, 535
2700, 22, 24, 2, 12, 535
2700, 23, 24, 2, 13, 535
2700, 13, 2, 2701, 24, 35
2700, 14, 2, 2701, 25, 35
2700, 30, 18, 2713, 20, 3
2700, 31, 18, 2713, 21, 3

2701, 24, 36, 2700, 13, 3
2701, 25, 36, 2700, 14, 3
2701, 18, 12, 2702, 27, 9
2701, 19, 12, 2702, 28, 9

2702, 27, 8, 2701, 18, 11
2702, 28, 8, 2701, 19, 11
2702, 9, 12, 2703, 7, 27
2702, 10, 12, 2703, 8, 27
2702, 24, 32, 2704, 28, 13
2702, 25, 32, 2704, 29, 13

2703, 7, 28, 2702, 9, 13
2703, 8, 28, 2702, 10, 13

2704, 28, 12, 2702, 24, 31
2704, 29, 12, 2702, 25, 31
2704, 2, 2, 2712, 21, 20
2704, 3, 2, 2712, 22, 20
2704, 28, 21, 2705, 4, 9
2704, 29, 21, 2705, 5, 9

2705, 4, 8, 2704, 28, 20
2705, 5, 8, 2704, 29, 20
2705, 30, 33, 2706, 4, 2
2705, 31, 33, 2706, 5, 2
2705, 48, 38, 2706, 30, 7
2705, 49, 38, 2706, 31, 7

2706, 4, 1, 2705, 30, 32
2706, 5, 1, 2705, 31, 32
2706, 30, 6, 2705, 48, 37
2706, 31, 6, 2705, 49, 37
2706, 14, 2, 2707, 27, 53
2706, 15, 2, 2707, 28, 53

2707, 27, 54, 2706, 14, 3
2707, 28, 54, 2706, 15, 3
2707, 17, 16, 2708, 11, 13
2707, 18, 16, 2708, 12, 13
2707, 19, 7, 2709, 15, 26
2707, 20, 7, 2709, 16, 26
2707, 38, 9, 2710, 4, 13
2707, 39, 9, 2710, 5, 13
2707, 5, 4, 2713, 6, 16
2707, 6, 4, 2713, 7, 16

2708, 11, 14, 2707, 17, 17
2708, 12, 14, 2707, 18, 17

2709, 15, 27, 2707, 19, 8
2709, 16, 27, 2707, 20, 8
2709, 3, 5, 2711, 6, 16
2709, 4, 5, 2711, 7, 16
2709, 20, 4, 2711, 32, 16
2709, 21, 4, 2711, 33, 16

2710, 4, 14, 2707, 38, 10
2710, 5, 14, 2707, 39, 10

2711, 6, 17, 2709, 3, 6
2711, 7, 17, 2709, 4, 6
2711, 32, 17, 2709, 20, 5
2711, 33, 17, 2709, 21, 5

2712, 21, 21, 2704, 2, 3
2712, 22, 21, 2704, 3, 3

2713, 6, 17, 2707, 5, 5
2713, 7, 17, 2707, 6, 5
2713, 20, 2, 2700, 30, 17
2713, 21, 2, 2700, 31, 17
